block_time,from,to,total_eth
2022-03-29T16:39:58+00:00,\xf56b7647799e2c4d2fcf93a62b1b578723718814,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.002
2022-05-10T18:47:33+00:00,\x5c61cf2d69623de5bd934455489c2328f814c19d,\x3e37627deaa754090fbfbb8bd226c1ce66d255e9,1e-05
2022-03-31T09:36:33+00:00,\xf0eaebb267d25c22df8101091bafadf076761b69,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-05-19T14:08:51+00:00,\x346e95e6b7d5b266b9fff6d2e7dadef84933bfe5,\x08723392ed15743cc38513c4925f5e6be5c17243,3.69e-05
2022-03-30T02:39:21+00:00,\x1218137a37d33c3d3ec03c57e0d24a9cfdb2bf6c,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-04-03T09:47:03+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-12T12:01:29+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-31T08:41:01+00:00,\xe6ec0de23b6db6604113cb79db609d5da461c961,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-04-28T20:49:22+00:00,\x40225b91d29e27134bd81ab188fe318314ef0568,\xf7b31119c2682c88d88d455dbb9d5932c65cf1be,3.69e-05
2022-03-29T20:10:32+00:00,\x19bde2d28f54a7d65dd7ca9515a42880577411c1,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.00069
2022-03-30T14:42:52+00:00,\xe4d87c5f6ff73dea29e2d2ea1e2a736ff6538729,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-04-04T07:03:46+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xbc25d57412a04956cdd95af07825c5c1f34d29eb,1001.0
2022-03-23T13:59:41+00:00,\xe708f17240732bbfa1baa8513f66b665fbc7ce10,\x098b716b8aaf21512996dc57eb0615e2383e2f96,330.0
2022-03-29T16:14:20+00:00,\xb1e33c350d1b865b75e3f116b18dc752cb7e163f,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-03-29T23:53:43+00:00,\x49a545e6ddf6fdac01f1ae60d8476a7928850ce2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:10:52+00:00,\x514ab089938c7bf03f83420751b0da148220590d,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-31T10:08:46+00:00,\x48c7676d5d635a17058d9a843e1e20e26c463a59,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-23T13:46:46+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xe708f17240732bbfa1baa8513f66b665fbc7ce10,1.0
2022-03-23T14:02:51+00:00,\x665660f65e94454a64b96693a67a41d440155617,\x098b716b8aaf21512996dc57eb0615e2383e2f96,3390.0
2022-03-29T16:21:24+00:00,\x880833ebbcdc2628b7878969430a49c2cb7f0b4e,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-29T16:53:50+00:00,\x128ca64a0fc0c7687106db709191ec58427a80b5,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-03-29T16:11:18+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
